FID_WWW,OBJECTID,NAME,at_risk,COUNTRY,TYPE,Region,FID_1,CONTINENT,sq_km,sq_mile
0,2,Cape Krusenstern,n,USA,WCS areas of work,Arctic Beringia,4,North America,2612,1009
1,3,Gates of the Arctic,n,USA,WCS areas of work,Arctic Beringia,4,North America,33441,12911
2,4,Noatak,n,USA,WCS areas of work,Arctic Beringia,4,North America,26534,10245
3,5,Kobuk Valley,n,USA,WCS areas of work,Arctic Beringia,4,North America,6963,2689
4,6,Natural System of Wrangel Island Reserve,y,Russia,WCS areas of work,Arctic Beringia,2,Asia,7622,2943
5,7,Arctic,1002 area is,USA,WCS areas of work,Arctic Beringia,4,North America,79935,30863
6,8,Selawik NWR,n,USA,WCS areas of work,Arctic Beringia,4,North America,12917,4987
7,9,Yukon Delta NWR,n,USA,WCS areas of work,Arctic Beringia,4,North America,93817,36223
8,10,Togiak NWR,n,USA,WCS areas of work,Arctic Beringia,4,North America,18706,7222
9,11,Beringia NP,y,Russia,WCS areas of work,Arctic Beringia,2,Asia,14644,5654
10,12,Teshekpuk Lake,y,USA,WCS areas of work,Arctic Beringia,4,North America,14541,5614
11,13,Colville River,y,USA,WCS areas of work,Arctic Beringia,4,North America,8822,3406
12,14,Utukok River,y,USA,WCS areas of work,Arctic Beringia,4,North America,27507,10620
13,15,Peard Bay,y,USA,WCS areas of work,Arctic Beringia,4,North America,126,49
14,16,Kasegaluk,y,USA,WCS areas of work,Arctic Beringia,4,North America,184,71
15,17,Kahuzi-Biega,,DRC,WCS areas of work,Central Africa,1,Africa,6691,2583
16,18,Mbam et Djerem,,Cameroon,WCS areas of work,Central Africa,1,Africa,4296,1659
17,19,Oku Reserve,,DRC,WCS areas of work,Central Africa,1,Africa,3525,1361
18,20,Ituri,,DRC,WCS areas of work,Central Africa,1,Africa,72977,28177
19,21,Kabobo,,DRC,WCS areas of work,Central Africa,1,Africa,8944,3453
20,22,Yankari,,Nigeria,WCS areas of work,Central Africa,1,Africa,2761,1066
21,23,Ndoki-Likouala,,Congo,WCS areas of work,Central Africa,1,Africa,34571,13348
22,24,Rey Bouba,,Cameroon,WCS areas of work,Central Africa,1,Africa,498,192
23,25,Mayo-Bidjou,,Cameroon,WCS areas of work,Central Africa,1,Africa,567,219
24,26,Campement des Rh,,Cameroon,WCS areas of work,Central Africa,1,Africa,437,169
25,27,Mayo-Nduele,,Cameroon,WCS areas of work,Central Africa,1,Africa,1193,460
26,28,Sorombeo,,Cameroon,WCS areas of work,Central Africa,1,Africa,634,245
27,29,Mayo-Oldiri-Nord,,Cameroon,WCS areas of work,Central Africa,1,Africa,1042,402
28,30,Djibao,,Cameroon,WCS areas of work,Central Africa,1,Africa,733,283
29,31,Bouba Ndjidda,,Cameroon,WCS areas of work,Central Africa,1,Africa,2086,806
30,32,Sene Oura,,Chad,WCS areas of work,Central Africa,1,Africa,726,280
31,33,Cross River,,"Nigeria, Cameroon",WCS areas of work,Central Africa,1,Africa,5311,2051
32,34,Takamanda,,Nigeria,WCS areas of work,Central Africa,1,Africa,3463,1337
33,36,Payunia - Laguna Blanca,,Argentina,WCS areas of work,Patagonia,6,South America,78607,30350
34,38,Valdes,,Argentina,WCS areas of work,Patagonia,6,South America,22253,8592
35,40,Tierra del Fuego,,Argentina-Chile,WCS areas of work,Patagonia,6,South America,59493,22970
36,44,Paraguayan Chaco,,Paraguay,WCS areas of work,Patagonia,6,South America,27181,10495
37,49,Mediterraneo,,Chile,WCS areas of work,Patagonia,6,South America,9700,3745
38,52,Madidi Tambopata,,"Bolivia, Peru",WCS areas of work,AAO,6,South America,132769,51262
39,53,Llanganates-Yasuni,,Ecuador,WCS areas of work,AAO,6,South America,45380,17521
40,54,Mara├▒on Ucayali,,Peru,WCS areas of work,AAO,6,South America,170495,65828
41,55,Eastern Savannas of Arauca and Vichada,,Colombia,WCS areas of work,AAO,6,South America,45719,17652
42,56,Middle Magdalena Valley,,Colombia,WCS areas of work,AAO,6,South America,17789,6868
43,57,Western-Central Andes,,Colombia,WCS areas of work,AAO,6,South America,39948,15424
44,58,Andes-Choco,,Colombia,WCS areas of work,AAO,6,South America,25045,9670
45,59,Andean-Amazon piedmont of Putumayo,,Colombia,WCS areas of work,AAO,6,South America,21816,8423
46,61,Lower R├¡o Negro,,Brazil,WCS areas of work,AAO,6,South America,75354,29094
47,62,Gabon,,Gabon,Policy,Central Africa,1,Africa,262570,101379
48,63,South Sudan,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,1749,675
49,64,South Sudan,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,19757,7628
50,65,South Sudan,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,8939,3451
51,66,South Sudan,,South Sudan,WCS areas of work,Sudano-Sahel,1,Africa,7729,2984
52,67,Central African Republic,,Central African Republic,WCS areas of work,Sudano-Sahel,1,Africa,98897,38184
53,68,Maya Forest,,"Guatemala, Mexico, Belize",WCS areas of work,Mesoamerica,4,North America,40735,15728
54,73,,,Nicaragua,WCS areas of work,Mesoamerica,4,North America,38914,15025
55,76,,,Cuba,WCS areas of work,Mesoamerica,4,North America,3444,1330
56,80,Meso Reef,,Belize,WCS areas of work,Mesoamerica,4,North America,520,201
57,81,,,"Cost Rica, Panama",Partners work here,Mesoamerica,4,North America,38215,14755
58,82,,,"Panama, Colombia",Partners work here,Mesoamerica,4,North America,23673,9140
58,82,,,"Panama, Colombia",Partners work here,Mesoamerica,6,South America,6139,2370
59,86,Ruaha-Katavi,,Tanzania,,East Africa and West Indian Ocean,1,Africa,71300,27529
60,87,,,Mozambique,,East Africa and West Indian Ocean,1,Africa,40926,15801
61,88,,,Madagascar,,East Africa and West Indian Ocean,1,Africa,12267,4736
62,89,Gobi,,Mongolia,WCS areas of work,Temperate Asia,2,Asia,97653,37704
63,92,Saiga Range,,Mongolia,"WCS areas of work, I",Temperate Asia,2,Asia,30049,11602
64,93,Changtang,,China,"WCS areas of work, J",Temperate Asia,2,Asia,993686,383664
65,94,Northeast Asia Tiger Stronghold,,"Russia, China","WCS areas of work, F",Temperate Asia,2,Asia,513837,198394
66,95,Sunderbans,,Bangladesh,,South Asia,2,Asia,7539,2911
67,97,,,India,,South Asia,2,Asia,34238,13219
68,99,Western Ghats,,India,,South Asia,2,Asia,72670,28058
69,100,Bismarck Forest Corridor,,Papua New Guinea,WCS areas of work,Melanesia,2,Asia,8578,3312
70,101,Manus Great Central Forest,,Papua New Guinea,WCS areas of work,Melanesia,5,Oceania,1713,662
71,102,New Ireland Seascape,,Papua New Guinea,WCS areas of work,Melanesia,5,Oceania,2922,1128
72,103,West-Central Solomons Land-Seascape,,Solomon Islands,WCS areas of work,Melanesia,5,Oceania,4471,1726
73,105,Vatu-i-Ra Seascape,,Fiji,WCS areas of work,Melanesia,5,Oceania,8469,3270
74,106,,,Thailand,,Greater Mekong,2,Asia,2012,777
75,107,,,Cambodia,,Greater Mekong,2,Asia,8819,3405
76,108,,,Cambodia,,Greater Mekong,2,Asia,3971,1533
77,109,,,Cambodia,,Greater Mekong,2,Asia,758,293
78,110,,,Laos,,Greater Mekong,2,Asia,6199,2394
79,111,,,Laos,,Greater Mekong,2,Asia,11141,4302
80,112,,,Myanmar,,Greater Mekong,2,Asia,4566,1763
81,116,,,Myanmar,,Greater Mekong,2,Asia,5183,2001
82,117,,,Myanmar,,Greater Mekong,2,Asia,27906,10774
83,118,,,Myanmar,,Greater Mekong,2,Asia,2309,892
84,119,,,Myanmar,,Greater Mekong,2,Asia,8470,3270
85,122,,,Thailand,,Greater Mekong,2,Asia,7516,2902
86,123,,,Thailand,,Greater Mekong,2,Asia,3434,1326
87,124,,,Canada,,Northern Boreal,4,North America,506640,195615
88,125,,,Canada,,Northern Boreal,4,North America,451054,174153
89,126,Iinnii Home  Land,,USA,WCS areas of work,,4,North America,195592,75519
90,127,High Divide,,USA,WCS areas of work,,4,North America,273152,105465
91,128,ESHKASHIM,,Afghanistan,,,2,Asia,1569,606
92,129,WAKHAN,,Afghanistan,,,2,Asia,11045,4265
93,130,ZEBAK,,Afghanistan,,,2,Asia,1989,768
94,131,SAIGHAN,,Afghanistan,,,2,Asia,2109,814
95,132,YAKAWLANG,,Afghanistan,,,2,Asia,6553,2530
96,133,PANJSHER,,Afghanistan,,,2,Asia,3635,1404
97,136,KAHMARD,,Afghanistan,,,2,Asia,1438,555
98,138,,,Indonesia,,,2,Asia,2292,885
99,139,,,Indonesia,,,2,Asia,24458,9443
100,140,,,Malaysia,,,2,Asia,7221,2788
101,143,,,Malaysia,,,2,Asia,4316,1666
102,144,,,Indonesia,,,2,Asia,42527,16420
103,145,,,Philippines,,,2,Asia,88593,34206
104,146,,,Indonesia,,,2,Asia,13501,5213
105,147,Greater Gila,,USA,,,4,North America,101628,39239
106,52,,,"Nicaragua, Costa Rica",,Mesoamerica,4,North America,11393,4399
107,0,,,,,,4,North America,378,146
108,0,,,,,,1,Africa,1076,416
1,3,Gates of the Arctic,n,USA,WCS areas of work,Arctic Beringia,4,North America,0,0
2,4,Noatak,n,USA,WCS areas of work,Arctic Beringia,4,North America,0,0
2,4,Noatak,n,USA,WCS areas of work,Arctic Beringia,4,North America,4,2
12,14,Utukok River,y,USA,WCS areas of work,Arctic Beringia,4,North America,4,2
3,5,Kobuk Valley,n,USA,WCS areas of work,Arctic Beringia,4,North America,2,1
6,8,Selawik NWR,n,USA,WCS areas of work,Arctic Beringia,4,North America,2,1
7,9,Yukon Delta NWR,n,USA,WCS areas of work,Arctic Beringia,4,North America,0,0
8,10,Togiak NWR,n,USA,WCS areas of work,Arctic Beringia,4,North America,0,0
11,13,Colville River,y,USA,WCS areas of work,Arctic Beringia,4,North America,1064,411
12,14,Utukok River,y,USA,WCS areas of work,Arctic Beringia,4,North America,1064,411
15,17,Kahuzi-Biega,,DRC,WCS areas of work,Central Africa,1,Africa,40,15
17,19,Oku Reserve,,DRC,WCS areas of work,Central Africa,1,Africa,40,15
23,25,Mayo-Bidjou,,Cameroon,WCS areas of work,Central Africa,1,Africa,2,1
29,31,Bouba Ndjidda,,Cameroon,WCS areas of work,Central Africa,1,Africa,2,1
25,27,Mayo-Nduele,,Cameroon,WCS areas of work,Central Africa,1,Africa,1,0
29,31,Bouba Ndjidda,,Cameroon,WCS areas of work,Central Africa,1,Africa,1,0
26,28,Sorombeo,,Cameroon,WCS areas of work,Central Africa,1,Africa,0,0
28,30,Djibao,,Cameroon,WCS areas of work,Central Africa,1,Africa,0,0
26,28,Sorombeo,,Cameroon,WCS areas of work,Central Africa,1,Africa,1,0
29,31,Bouba Ndjidda,,Cameroon,WCS areas of work,Central Africa,1,Africa,1,0
28,30,Djibao,,Cameroon,WCS areas of work,Central Africa,1,Africa,2,1
29,31,Bouba Ndjidda,,Cameroon,WCS areas of work,Central Africa,1,Africa,2,1
28,30,Djibao,,Cameroon,WCS areas of work,Central Africa,1,Africa,2,1
30,32,Sene Oura,,Chad,WCS areas of work,Central Africa,1,Africa,2,1
29,31,Bouba Ndjidda,,Cameroon,WCS areas of work,Central Africa,1,Africa,18,7
30,32,Sene Oura,,Chad,WCS areas of work,Central Africa,1,Africa,18,7
82,117,,,Myanmar,,Greater Mekong,2,Asia,5,2
84,119,,,Myanmar,,Greater Mekong,2,Asia,5,2
89,126,Iinnii Home  Land,,USA,WCS areas of work,,4,North America,1,0
90,127,High Divide,,USA,WCS areas of work,,4,North America,1,0
98,138,,,Indonesia,,,2,Asia,8,3
102,144,,,Indonesia,,,2,Asia,8,3